,Spieltag,Season,Name,Team1,Team2,Guess,Result,Points
0,1,2016/2017,MM,FCB,BRE,3:0,6:0,"1,14"
1,1,2016/2017,MM,HSV,FCI,1:1,1:1,"1,85"
2,1,2016/2017,MM,KOE,D98,2:0,2:0,"1,63"
3,1,2016/2017,MM,BVB,M05,2:0,2:1,"1,19"
4,1,2016/2017,MM,SGE,S04,2:1,1:0,"2,38"
5,1,2016/2017,MM,FCA,WOB,1:2,0:2,"1,23"
6,1,2016/2017,MM,BMG,B04,1:0,2:1,"1,53"
7,1,2016/2017,MM,BSC,SCF,2:0,2:1,"1,26"
8,1,2016/2017,MM,TSG,RBL,2:1,2:2,0
9,1,2016/2017,saptarshi,FCB,BRE,3:0,6:0,"1,14"
10,1,2016/2017,saptarshi,HSV,FCI,2:2,1:1,"1,69"
11,1,2016/2017,saptarshi,KOE,D98,3:1,2:0,"1,56"
12,1,2016/2017,saptarshi,BVB,M05,3:1,2:1,"1,19"
13,1,2016/2017,saptarshi,SGE,S04,1:2,1:0,0
14,1,2016/2017,saptarshi,FCA,WOB,0:1,0:2,"1,23"
15,1,2016/2017,saptarshi,BMG,B04,1:0,2:1,"1,53"
16,1,2016/2017,saptarshi,BSC,SCF,2:0,2:1,"1,26"
17,1,2016/2017,saptarshi,TSG,RBL,1:1,2:2,"1,72"
18,1,2016/2017,Julian,FCB,BRE,1:0,6:0,"1,1"
19,1,2016/2017,Julian,HSV,FCI,1:1,1:1,"1,85"
20,1,2016/2017,Julian,KOE,D98,3:2,2:0,"1,19"
21,1,2016/2017,Julian,BVB,M05,0:0,2:1,0
22,1,2016/2017,Julian,SGE,S04,1:0,1:0,"5,15"
23,1,2016/2017,Julian,FCA,WOB,2:1,0:2,0
24,1,2016/2017,Julian,BMG,B04,4:1,2:1,"1,25"
25,1,2016/2017,Julian,BSC,SCF,3:3,2:1,0
26,1,2016/2017,Julian,TSG,RBL,0:2,2:2,0
27,1,2016/2017,Benni,FCB,BRE,3:0,6:0,"1,14"
28,1,2016/2017,Benni,HSV,FCI,1:1,1:1,"1,85"
29,1,2016/2017,Benni,KOE,D98,2:1,2:0,"1,2"
30,1,2016/2017,Benni,BVB,M05,3:2,2:1,"1,82"
31,1,2016/2017,Benni,SGE,S04,0:1,1:0,0
32,1,2016/2017,Benni,FCA,WOB,0:2,0:2,"2,99"
33,1,2016/2017,Benni,BMG,B04,1:2,2:1,0
34,1,2016/2017,Benni,BSC,SCF,2:0,2:1,"1,26"
35,1,2016/2017,Benni,TSG,RBL,1:3,2:2,0
36,1,2016/2017,Therken,FCB,BRE,3:0,6:0,"1,14"
37,1,2016/2017,Therken,HSV,FCI,0:2,1:1,0
38,1,2016/2017,Therken,KOE,D98,2:1,2:0,"1,2"
39,1,2016/2017,Therken,BVB,M05,3:1,2:1,"1,19"
40,1,2016/2017,Therken,SGE,S04,1:2,1:0,0
41,1,2016/2017,Therken,FCA,WOB,2:1,0:2,0
42,1,2016/2017,Therken,BMG,B04,3:1,2:1,"1,3"
43,1,2016/2017,Therken,BSC,SCF,1:2,2:1,0
44,1,2016/2017,Therken,TSG,RBL,2:2,2:2,"5,32"
45,1,2016/2017,JK,FCB,BRE,3:1,6:0,"1,12"
46,1,2016/2017,JK,HSV,FCI,1:1,1:1,"1,85"
47,1,2016/2017,JK,KOE,D98,3:0,2:0,"1,2"
48,1,2016/2017,JK,BVB,M05,3:0,2:1,"1,16"
49,1,2016/2017,JK,SGE,S04,2:0,1:0,"1,69"
50,1,2016/2017,JK,FCA,WOB,1:0,0:2,0
51,1,2016/2017,JK,BMG,B04,4:2,2:1,"1,28"
52,1,2016/2017,JK,BSC,SCF,1:0,2:1,"1,44"
53,1,2016/2017,JK,TSG,RBL,3:2,2:2,0
54,1,2016/2017,han,FCB,BRE,6:0,6:0,"2,04"
55,1,2016/2017,han,HSV,FCI,0:0,1:1,"1,69"
56,1,2016/2017,han,KOE,D98,2:0,2:0,"1,63"
57,1,2016/2017,han,BVB,M05,4:0,2:1,"1,15"
58,1,2016/2017,han,SGE,S04,0:2,1:0,0
59,1,2016/2017,han,FCA,WOB,0:3,0:2,"1,23"
60,1,2016/2017,han,BMG,B04,1:1,2:1,0
61,1,2016/2017,han,BSC,SCF,1:0,2:1,"1,44"
62,1,2016/2017,han,TSG,RBL,1:2,2:2,0
63,1,2016/2017,Runner,FCB,BRE,4:1,6:0,"1,28"
64,1,2016/2017,Runner,HSV,FCI,1:1,1:1,"1,85"
65,1,2016/2017,Runner,KOE,D98,2:1,2:0,"1,2"
66,1,2016/2017,Runner,BVB,M05,3:0,2:1,"1,16"
67,1,2016/2017,Runner,SGE,S04,0:2,1:0,0
68,1,2016/2017,Runner,FCA,WOB,1:3,0:2,"1,99"
69,1,2016/2017,Runner,BMG,B04,3:1,2:1,"1,3"
70,1,2016/2017,Runner,BSC,SCF,1:1,2:1,0
71,1,2016/2017,Runner,TSG,RBL,0:2,2:2,0
72,1,2016/2017,mgeveler,FCB,BRE,2:1,6:0,"1,11"
73,1,2016/2017,mgeveler,HSV,FCI,2:1,1:1,0
74,1,2016/2017,mgeveler,KOE,D98,2:1,2:0,"1,2"
75,1,2016/2017,mgeveler,BVB,M05,2:1,2:1,"2,02"
76,1,2016/2017,mgeveler,SGE,S04,2:1,1:0,"2,38"
77,1,2016/2017,mgeveler,FCA,WOB,1:1,0:2,0
78,1,2016/2017,mgeveler,BMG,B04,2:1,2:1,"2,06"
79,1,2016/2017,mgeveler,BSC,SCF,1:1,2:1,0
80,1,2016/2017,mgeveler,TSG,RBL,2:1,2:2,0
81,1,2016/2017,HoD,FCB,BRE,,6:0,0
82,1,2016/2017,HoD,HSV,FCI,2:0,1:1,0
83,1,2016/2017,HoD,KOE,D98,2:0,2:0,"1,63"
84,1,2016/2017,HoD,BVB,M05,3:0,2:1,"1,16"
85,1,2016/2017,HoD,SGE,S04,2:3,1:0,0
86,1,2016/2017,HoD,FCA,WOB,1:2,0:2,"1,23"
87,1,2016/2017,HoD,BMG,B04,3:2,2:1,"1,53"
88,1,2016/2017,HoD,BSC,SCF,2:1,2:1,"2,96"
89,1,2016/2017,HoD,TSG,RBL,2:1,2:2,0
90,1,2016/2017,cbas,FCB,BRE,3:0,6:0,"1,14"
91,1,2016/2017,cbas,HSV,FCI,1:0,1:1,0
92,1,2016/2017,cbas,KOE,D98,1:0,2:0,"1,2"
93,1,2016/2017,cbas,BVB,M05,2:0,2:1,"1,19"
94,1,2016/2017,cbas,SGE,S04,0:1,1:0,0
95,1,2016/2017,cbas,FCA,WOB,0:1,0:2,"1,23"
96,1,2016/2017,cbas,BMG,B04,2:1,2:1,"2,06"
